"cluster","n","mean_km","sd_km","prop_on_edge","area_km2","local_effort_kept","variant","tag","after_effort_km2"
"north",252,7.22863193529987,4.02106904781837,0.0992063492063492,1137.66948003077,1,"Reference (2017-2021, all)","a_ref",31770.8622689604
"south",152,6.1850948876154,4.69346241077637,0,869.706007461539,1,"Reference (2017-2021, all)","a_ref",31770.8622689604
"north",212,6.29600091448794,4.60048812514212,0.108490566037736,723.971487292308,0.580284352257156,"Excluding 2017","a_no2017",22284.9492380804
"south",181,6.22590993999812,4.81407606352866,0,813.292644815385,0.638124906068646,"Excluding 2017","a_no2017",22284.9492380804
"north",311,7.39519283423537,4.03854061962219,0.067524115755627,1132.96836647692,0.601690285683107,"Excluding 2018","a_no2018",20025.4446816171
"south",240,8.91486245023783,7.0905604567025,0,629.949216215385,0.547448237567599,"Excluding 2018","a_no2018",20025.4446816171
"north",248,7.04665416645275,4.02525445641916,0.108870967741935,1114.16391226154,0.823344382987819,"Excluding 2019","a_no2019",25116.0361778068
"south",166,6.85832629699051,4.78777899063966,0,944.923824323077,0.838419447814482,"Excluding 2019","a_no2019",25116.0361778068
"north",238,7.00218345746582,3.93509096636085,0.0966386554621849,1081.25611738462,0.994680979071918,"Excluding 2020-2021 (small years)","a_notail",27886.156709377
"south",156,5.97166376139004,4.60201372200884,0,836.798212584616,0.976007408549274,"Excluding 2020-2021 (small years)","a_notail",27886.156709377
"north",248,6.9512538818919,4.10151380529627,0.108870967741935,1062.45166316923,0.818025362059737,"First two years only (2017-2018)","a_first2",21231.3306182233
"south",152,6.35535192975326,4.76233122138432,0,897.912688784616,0.814426856363756,"First two years only (2017-2018)","a_first2",21231.3306182233
"north",170,5.6268185718104,2.90566776098376,0.0411764705882353,517.122490923077,0.181974637940264,"Last three years only (2019-2021)","a_last3",10539.5316507371
"south",38,2.80655904246494,2.57536101295468,0,51.7122490923077,0.185573143636245,"Last three years only (2019-2021)","a_last3",10539.5316507371
"north",248,7.35512517005778,4.01215791154311,0.100806451612903,1128.26725292308,1,"Reference, different seed (control)","a_ref_s2",31770.8622689604
"south",152,6.22931604404877,4.76961396151141,0,879.108234569231,1,"Reference, different seed (control)","a_ref_s2",31770.8622689604
